Count,Label,CBG,GEOID
78,Count of all Rental Properties,8.003,4.21E+11
57,Count of all Rental Properties,8.004,4.21E+11
98,Count of all Rental Properties,9.001,4.21E+11
162,Count of all Rental Properties,9.002,4.21E+11
50,Count of all Rental Properties,9.003,4.21E+11
230,Count of all Rental Properties,9.004,4.21E+11
206,Count of all Rental Properties,10.001,4.21E+11
206,Count of all Rental Properties,10.002,4.21E+11
173,Count of all Rental Properties,10.003,4.21E+11
144,Count of all Rental Properties,10.004,4.21E+11
219,Count of all Rental Properties,11.001,4.21E+11
158,Count of all Rental Properties,11.002,4.21E+11
168,Count of all Rental Properties,11.003,4.21E+11
130,Count of all Rental Properties,12.001,4.21E+11
111,Count of all Rental Properties,12.002,4.21E+11
82,Count of all Rental Properties,12.003,4.21E+11
145,Count of all Rental Properties,12.004,4.21E+11
191,Count of all Rental Properties,14.001,4.21E+11
322,Count of all Rental Properties,14.002,4.21E+11
216,Count of all Rental Properties,14.003,4.21E+11
205,Count of all Rental Properties,14.004,4.21E+11
113,Count of all Rental Properties,118.052,4.21E+11
269,Count of all Rental Properties,147.001,4.21E+11
148,Count of all Rental Properties,147.002,4.21E+11
201,Count of all Rental Properties,147.003,4.21E+11
0,Count of Condemnations 2007 - 2017,1.001,4.21E+11
0,Count of Condemnations 2007 - 2017,1.002,4.21E+11
0,Count of Condemnations 2007 - 2017,1.003,4.21E+11
4,Count of Condemnations 2007 - 2017,2.001,4.21E+11
7,Count of Condemnations 2007 - 2017,2.002,4.21E+11
0,Count of Condemnations 2007 - 2017,3.001,4.21E+11
2,Count of Condemnations 2007 - 2017,3.002,4.21E+11
6,Count of Condemnations 2007 - 2017,3.003,4.21E+11
2,Count of Condemnations 2007 - 2017,3.004,4.21E+11
0,Count of Condemnations 2007 - 2017,4.001,4.21E+11
1,Count of Condemnations 2007 - 2017,4.002,4.21E+11
0,Count of Condemnations 2007 - 2017,4.003,4.21E+11
1,Count of Condemnations 2007 - 2017,4.004,4.21E+11
1,Count of Condemnations 2007 - 2017,5.001,4.21E+11
3,Count of Condemnations 2007 - 2017,5.002,4.21E+11
0,Count of Condemnations 2007 - 2017,5.003,4.21E+11
0,Count of Condemnations 2007 - 2017,5.004,4.21E+11
0,Count of Condemnations 2007 - 2017,6.001,4.21E+11
1,Count of Condemnations 2007 - 2017,6.002,4.21E+11
1,Count of Condemnations 2007 - 2017,6.003,4.21E+11
1,Count of Condemnations 2007 - 2017,6.004,4.21E+11
4,Count of Condemnations 2007 - 2017,7.001,4.21E+11
1,Count of Condemnations 2007 - 2017,7.002,4.21E+11
2,Count of Condemnations 2007 - 2017,7.003,4.21E+11
1,Count of Condemnations 2007 - 2017,8.001,4.21E+11
3,Count of Condemnations 2007 - 2017,8.002,4.21E+11
0,Count of Condemnations 2007 - 2017,8.003,4.21E+11
5,Count of Condemnations 2007 - 2017,8.004,4.21E+11
3,Count of Condemnations 2007 - 2017,9.001,4.21E+11
1,Count of Condemnations 2007 - 2017,9.002,4.21E+11
1,Count of Condemnations 2007 - 2017,9.003,4.21E+11
8,Count of Condemnations 2007 - 2017,9.004,4.21E+11
6,Count of Condemnations 2007 - 2017,10.001,4.21E+11
6,Count of Condemnations 2007 - 2017,10.002,4.21E+11
3,Count of Condemnations 2007 - 2017,10.003,4.21E+11
2,Count of Condemnations 2007 - 2017,10.004,4.21E+11
4,Count of Condemnations 2007 - 2017,11.001,4.21E+11
2,Count of Condemnations 2007 - 2017,11.002,4.21E+11
2,Count of Condemnations 2007 - 2017,11.003,4.21E+11
0,Count of Condemnations 2007 - 2017,12.001,4.21E+11
1,Count of Condemnations 2007 - 2017,12.002,4.21E+11
0,Count of Condemnations 2007 - 2017,12.003,4.21E+11
